DIPP-MOTION XYGraphData,,,,,,,,
Info,,,,,,,,
[ポイント_X_座標値] - [ポイント_Y_座標値],,,,,,,,
横軸単位,mm,,,,,,,
縦軸単位,mm,,,,,,,
系列名,[1]P 1,[2]P 2,[3]P 3,[4]P 4,,,,
色,255,65280,16711680,65535,,,,
時間,P 1(X),P 1(Y),P 2(X),P 2(Y),P 3(X),P 3(Y),P 4(X),P 4(Y)
0,-9.09E-13,-1.05E-12,-26.44708397,-212.6887675,-60.95169828,-328.8142883,-22.94318183,-329.0205587
0.001,-2.05E-12,-3.64E-12,-26.39987425,-212.7493737,-60.91570546,-328.7840641,-22.8707066,-329.0743421
0.002,2.84E-12,1.59E-12,-26.35744618,-212.7952529,-60.8831891,-328.7453036,-22.80238116,-329.1140095
0.003,2.84E-12,6.54E-13,-26.28752912,-212.8726422,-60.82057334,-328.7504345,-22.70530297,-329.1864091
0.004,1.48E-11,-9.09E-13,-26.21398424,-212.9028435,-60.7507799,-328.7260584,-22.60270132,-329.213454
0.005,-3.75E-12,-1.36E-12,-26.20463581,-212.9864317,-60.74141898,-328.7722228,-22.56176859,-329.2963298
0.006,-4.55E-13,7.39E-13,-26.13138175,-213.0144017,-60.66444804,-328.7782219,-22.45377085,-329.3266429
0.007,1.19E-11,-9.66E-13,-26.08885791,-213.1073332,-60.61456239,-328.8629338,-22.37271204,-329.4255837
0.008,-6.82E-13,-7.39E-13,-26.06326184,-213.1339773,-60.57801907,-328.8934089,-22.30415191,-329.4633278
0.009,6.82E-13,1.42E-12,-25.99228218,-213.2359614,-60.49256626,-329.0095734,-22.18642395,-329.5802393
0.01,-2.73E-12,-2.05E-12,-25.90534752,-213.286637,-60.38769201,-329.0830777,-22.04967727,-329.6488483
0.011,1.25E-12,1.36E-12,-25.93527211,-213.3609976,-60.39651559,-329.1864574,-22.02769221,-329.74257
0.012,4.43E-12,-5.68E-13,-25.88392705,-213.4215736,-60.32147519,-329.2811776,-21.92356799,-329.8237494
0.013,-6.59E-12,-2.87E-12,-25.84805672,-213.4934215,-60.26009508,-329.3906738,-21.83548996,-329.9167015
0.014,0,-1.99E-12,-25.81584773,-213.5840413,-60.20134175,-329.5208249,-21.75308564,-330.0281852
0.015,9.09E-13,2.84E-13,-25.75618011,-213.6381486,-60.11487512,-329.6147254,-21.646676,-330.1021746
0.016,-4.89E-12,4.75E-12,-25.76925684,-213.7282135,-60.10167804,-329.7432244,-21.61790498,-330.2103984
0.017,-1.26E-11,-7.67E-13,-25.69015419,-213.794119,-59.99760668,-329.8445836,-21.50328977,-330.2919982
0.018,1.59E-12,8.53E-13,-25.63091911,-213.8963121,-59.91548787,-329.9776289,-21.41631825,-330.4066796
0.019,1.25E-11,-2.33E-12,-25.57341102,-213.97981,-59.8379609,-330.0857565,-21.34029079,-330.4987184
0.02,-1.40E-11,-1.88E-12,-25.54616969,-214.0556662,-59.7940604,-330.1772853,-21.30448216,-330.5782569
0.021,-5.57E-12,-1.39E-12,-25.47817757,-214.1583685,-59.7129136,-330.2873458,-21.23790505,-330.6802344
0.022,-3.30E-12,8.53E-14,-25.43000227,-214.2293351,-59.6554446,-330.3570493,-21.20055868,-330.7465148
0.023,-5.46E-12,1.71E-12,-25.37074335,-214.3352482,-59.5908656,-330.4538498,-21.16097425,-330.844226
0.024,1.15E-11,-3.69E-12,-25.21922606,-214.4385622,-59.43811444,-330.540973,-21.03740865,-330.9362678
0.025,-5.34E-12,-2.64E-12,-25.25266347,-214.5128018,-59.47451678,-330.5927152,-21.10650655,-330.9966107
0.026,4.21E-12,1.39E-12,-25.16899115,-214.6185204,-59.39812084,-330.6704013,-21.06563519,-331.0862535
0.027,5.23E-12,-2.10E-12,-25.05897697,-214.7146855,-59.29980706,-330.7337705,-21.00499405,-331.1646094
0.028,-2.73E-12,-2.27E-13,-25.03850444,-214.8101828,-59.29557158,-330.7924799,-21.03989829,-331.2410098
0.029,-4.43E-12,-3.38E-12,-24.94208415,-214.9131903,-59.22003757,-330.8554792,-21.00429009,-331.3240782
0.03,-1.25E-12,3.47E-12,-24.84889622,-215.0105624,-59.15249778,-330.9103942,-20.97678125,-331.4011146
